student_id,subject_id,exam_type,marks_obtained,max_marks,attendance,exam_date
S00001,SUB001,IA1,56,100,63,2026-02-01
S00001,SUB002,Lab,36,100,75,2026-02-09
S00001,SUB003,EndSem,77,100,71,2026-01-15
S00001,SUB004,EndSem,39,100,63,2026-01-21
S00001,SUB005,IA1,50,100,89,2026-02-22
S00001,SUB006,EndSem,35,100,64,2026-01-17
S00001,SUB007,IA2,74,100,99,2026-02-10
S00001,SUB008,Lab,59,100,89,2026-02-04
S00001,SUB009,IA2,85,100,93,2026-01-21
S00001,SUB010,EndSem,71,100,71,2026-01-26
S00002,SUB001,IA2,36,100,64,2026-03-06
S00002,SUB002,EndSem,78,100,100,2026-02-20
S00002,SUB003,Lab,72,100,80,2026-02-19
S00002,SUB004,Lab,73,100,67,2026-03-10
S00002,SUB005,IA1,38,100,80,2026-01-24
S00002,SUB006,IA2,30,100,96,2026-02-27
S00002,SUB007,IA1,74,100,96,2026-01-23
S00002,SUB008,EndSem,74,100,75,2026-02-15
S00002,SUB009,IA2,86,100,91,2026-03-06
S00002,SUB010,IA2,40,100,91,2026-03-10
S00003,SUB001,IA2,30,100,66,2026-02-10
S00003,SUB002,EndSem,51,100,90,2026-02-04
S00003,SUB003,IA1,71,100,66,2026-02-26
S00003,SUB004,EndSem,75,100,91,2026-02-28
S00003,SUB005,IA1,38,100,89,2026-02-06
S00003,SUB006,Lab,79,100,77,2026-02-19
S00003,SUB007,IA2,66,100,88,2026-03-11
S00003,SUB008,IA1,88,100,71,2026-01-19
S00003,SUB009,IA1,36,100,67,2026-02-22
S00003,SUB010,Lab,63,100,65,2026-02-20
S00004,SUB001,IA2,43,100,84,2026-01-29
S00004,SUB002,Lab,46,100,61,2026-02-08
S00004,SUB003,Lab,76,100,77,2026-02-28
S00004,SUB004,EndSem,47,100,61,2026-03-01
S00004,SUB005,Lab,70,100,64,2026-02-06
S00004,SUB006,Lab,34,100,86,2026-02-14
S00004,SUB007,Lab,68,100,99,2026-02-03
S00004,SUB008,IA1,47,100,97,2026-01-25
S00004,SUB009,Lab,66,100,71,2026-02-20
S00004,SUB010,IA2,40,100,83,2026-03-06
S00005,SUB001,IA1,89,100,67,2026-01-21
S00005,SUB002,IA2,74,100,70,2026-02-11
S00005,SUB003,Lab,39,100,91,2026-02-19
S00005,SUB004,EndSem,49,100,93,2026-01-16
S00005,SUB005,IA1,83,100,80,2026-02-24
S00005,SUB006,Lab,73,100,86,2026-02-24
S00005,SUB007,IA1,77,100,89,2026-02-15
S00005,SUB008,Lab,71,100,67,2026-02-07
S00005,SUB009,IA2,69,100,85,2026-02-28
S00005,SUB010,IA1,34,100,62,2026-03-10
S00006,SUB001,IA2,78,100,63,2026-02-17
S00006,SUB002,IA2,64,100,73,2026-02-08
S00006,SUB003,IA1,40,100,90,2026-02-11
S00006,SUB004,EndSem,70,100,92,2026-02-26
S00006,SUB005,IA1,71,100,89,2026-02-28
S00006,SUB006,Lab,34,100,74,2026-01-28
S00006,SUB007,Lab,30,100,91,2026-03-12
S00006,SUB008,EndSem,31,100,97,2026-01-19
S00006,SUB009,IA2,56,100,89,2026-02-21
S00006,SUB010,IA1,69,100,81,2026-02-10
S00007,SUB001,Lab,47,100,89,2026-03-12
S00007,SUB002,Lab,46,100,94,2026-01-26
S00007,SUB003,IA2,52,100,92,2026-01-21
S00007,SUB004,IA2,90,100,79,2026-03-04
S00007,SUB005,IA1,88,100,94,2026-03-05
S00007,SUB006,EndSem,43,100,78,2026-02-12
S00007,SUB007,IA2,60,100,87,2026-02-24
S00007,SUB008,Lab,69,100,83,2026-02-10
S00007,SUB009,IA2,73,100,97,2026-02-22
S00007,SUB010,IA1,76,100,76,2026-02-16
S00008,SUB001,IA1,70,100,86,2026-02-25
S00008,SUB002,EndSem,38,100,70,2026-02-02
